,0,1
286636,-1,@DAY26addict Yes!! He pushed me into a wall and I bashed my toe 
690757,-1,@j3wfr0 mannnnnnnnnnnnnnnn that's nuts!  be careful bro. i also have the problem not knowing when i'm done. lmfao.
1196076,1,@earthXplorer Gorgeous baby. Bet u r so PROUD. U should be 
799043,-1,Ok so I woke up late and I am now starting to drink the oral solution 
1481677,1,YAY THE APPRENTICE FINAL IS ON SOON 
959571,1,@jonasbrothers http://twitpic.com/5cmep - woot woot! tour is coming very close! cant wait to see you guys in 79 days 
1439679,1,went to coldstone and got a cake-and-shake 
591272,-1,@Mtihista: Glad I didn't choose to be a product manager...  
544650,-1,@imalexevans They sell nutella in Canada!? That's amazing. I can't seem to find it in the states... 
438906,-1,"@GeekySteph I am trying to get through my college work I should have done weeks ago. It's not good  Damm you twitter, facebook and TV! xx"
283012,-1,"Aj shara dine ektuo pora holo na... Akhon porte try korbo... Pray for me... I am going to get in trouble with the class tests, I fear... "
1301432,1,I wanna be with Brook at the pet store 
52647,-1,STUDYNG FOR BASIC ELECTRONICS HAVE A TEST ON MONDAY 
431473,-1,He said that all im saying it's just a shit !! Oh my heart crack into pieces definitely 
1215964,1,@jmebbk sweet mate thanks 
427834,-1,In the theatre watching and taking notes! Im hungry  x
136449,-1,@xo_mcflyandjb i don't remember  lol. and yayay. this is mean but im glad Tim and Bigzy are back on mon cause the others suck!
863564,1,@stircreative no worries will check link yhis morning on mac 
598317,-1,i am lonely  
1013647,1,Very few people will ever know the feeling of euphoria a mom experiences when her 8 year old says &quot;Mommy&quot; for the 1st time!  
216832,-1,So much hw to do. Where to begin? 
304468,-1,@JonathanRKnight so sad  you never know what can happen in life...always tell the ones you love how much you do.
59924,-1,Bored at work 
420768,-1,Just watched series finale of Arrested Development. Can't believe it's over  #fb
486854,-1,@eingrad God noo! I missed it! 
772762,-1,Stella turned the video back on. Nice one 
478533,-1,@JustJenzz startrek is awesome? a lot has said that but michelle said that i shouldn't watch ittt and its not worth watching 
1081116,1,@squishy1718 watch it tomorrow then! 
1386792,1,@BigAssBadger ah but at least i get the choice of films to watch all day  think i might do lord ofthe rings.. all 3 
686877,-1,Ouchiee. I banged my arm on my wardrobe  Going Bw at 2 to get JB new album!
3245,-1,"weather cloudy again, everyday same time rainy  "
326693,-1,@YoungQ Rob i can't watch it       HELP!!
931124,1,not gonna lie.... i feel weird so far.... but im always scared to do stuff alone so my friend suggest i do something alone 
259003,-1,Omfg dude there is some drama going on...  not good at all...
1473858,1,tryin to discover new music. voice lesson later  workin hard on those dreams of mine.
1501123,1,@fayeth Aren't you glad you're leaving 
585661,-1,neeeeeeeeeed friendssss! 
895916,1,when some one you know gives you lemons ... cut them in half and shove the     F-ers in their eyes. ( thatll make you feel beter) 
588909,-1,@ejacqui but it has those neat fake rubber stamps to make executives feel important when reading drafts 
1545632,1,"@ladytater or Ikea, that is somewhere near woodbridge isn't it "
807114,1,"@MalouBlom Ok I'm in Poitiers now at my moms, I'll be in Paris tomorrow, and in LA the day after... When do I see u? Back on may 9th "
583165,-1,"@sparklingrobots I have this problem.  I can go to your cautionary tale about postcards, or I can go to game night.  "
567546,-1,"at the USO, bored. I know daniel wants the computer, so its making me slow, because I cant think of what I want to do. "
224689,-1,Has mono 
559245,-1,@CuriousWines We'll miss our 'V'  Looking forward to it anyway.  Father's Day reminder tweet did the trick!
1308865,1,"off to read, play my guitar and catch some z's...laters "
1342830,1,"Mmmm, someone is cooking something yummy nearby. Hungry now "
416093,-1,My a/c is not working. 
1095542,1,good morning...and good night. 
398662,-1,doing some not so awesome revision 
86412,-1,off to bed for a couple of hours. Back to work tonight 
495785,-1,@ebradlee10 oh snap I missed that today  - I even heard the teaser - i'm sure it was entertaining
410927,-1,My neighbours are listening to music in their shed out the back and it's too loud  Boo!!
1348147,1,@CRMStrategies OMG! THAT question again!  guess @brentleary &amp; @mjayliebs know b8r ;) they doubt I am 2 persons across 2 timezones! LOL! 
1508770,1,its days like today that make me want to drink bourbon or beer after work thank fuck its home time 
8073,-1,All the twits are mixed up again 
52961,-1,Sphereing is disappointingly quick!!! A 2 hour drive for 30 seconds on fun!!! 
1293624,1,@nnnomi my burn has turned to tan also! and i have just had a yummy thorntans ice cream 
1557260,1,"Well my lovelies, time to leave this castle of knowledge, premium of science, to be back to the mundane city + crowded tourists spots "
158460,-1,I am never eating after 8pm again.. Bloated 
133354,-1,@Jamie_127 Sorry about that--so much for your sandwich 
1451399,1,Attended CCF service with Maicah and JJ 
129113,-1,says Should I text or call or should I wait till he does it first?  http://plurk.com/p/ujru0
1213398,1,@ddlovato hahahha  Demi you're awesome ! I love you and you're music so much ! â¥ Please come to Finland ! It would be amazing &lt;3
947992,1,@eleusis7 From your favourite torrent/warez site. 
108678,-1,Still up  watching Sweet Dreams -story of Patsy Cline-man what a voice!!!!
879178,1,I don't know what to do with my 4 domains yet.. hehehe. 
597288,-1,shower's over and no one came to join me  maybe i need to plan it out better next time... THERE'S ALWAYS TOMORROW!
1436161,1,@Jonasbrothers for sure!!  but our game of kickball will  be even better!! 
811851,1,"Just threw his FM tee on! Heading to school! Its such a beautiful day, time to do some hard-work! "
310667,-1,@jennyjin89 it sucks that people would want to pretend they are someone else. 
916649,1,Lol @ me and @kittykatmakeup whispering so we don't get in trouble and being almost 30! Feels great to be home feeling like kids 
656635,-1,I miss my baby  Why isn't he calling me?
1069309,1,"Getting ready to have a relaxing weekend! BBQ at the parents house tomorrow.   Yippee.  Saw Dane Cook last night, he rocked it!"
1370784,1,@ebassman cant wait to meet you or possibly see you in toronto 
143367,-1,is back from the brithday dinner...must have ate something bad....feeling sick!   
1129328,1,@ Kj's house with him for a night filled of call of duty and food 
362254,-1," none of the girls I know at Halmark are working. My poor lunch will be warm by the time I eat it, its gonna be warm "
1160923,1,got asked out on a date  soo nervous
240241,-1,@OscarTheCat so sorry to hear the news...     #rainbowbridge
810114,1,i know @britnic22 misses my news updates   here's a good one  http://tinyurl.com/c6ks96
275274,-1,Why do we even have to take finals? 
842697,1,"@ComedyChannel how bout you follow me, and ill be your 100 "
1148405,1,"Had a great night, don't think i laughed that hard in a long time. Not bc of the movie but bc of the ppl i was with "
1448168,1,"Okies - so I setup my bb data so that I receive emails from specific folk, dm's and blog comments.now I shall tweet all day! "
819377,1,"again behind my schedule but then, had lots of fun, my team won, i watched the movie Gran Torino and went to a concert afterwards "
204518,-1,How sad...my books on ancient Egypt are due back.  
1333165,1,No attorneys today = mentally healthy day for me 
1506012,1,th'emily on the phone 
465675,-1,ah syet my meeting is tomorrow not today!!! i dressed up like a nun for nothing 
430493,-1,@ArsenalSarah But it's all dirty now 
1596877,1,@Stephii_Boothxx no problem 
1500297,1,shouldn't be wasting time 
606492,-1,"@icypop Big hugs and consolatory muffins!  hope I havent made things worse, meep."
1401717,1,@palomasnapples I'm looking at one that has mythical beings!  I'll re-look at the super powers one. Something made me close the tab.
373380,-1,@RowdyBaby9 I dunno... SURE IN THE HELL AINT ME!!   Im giving up on that crap... guess I'll settle for what I got.. UGH!! hahahaha
111006,-1,damn it make this cold go away 
746325,-1,"alright, i found one. but they're out of stock  http://supermarkethq.com/product/643"
294927,-1,grr y cant i get off im liek addicted to my computer i swear  but seriosuly am really really agravated and stressed out 
199535,-1,"I only got a nibble out of my cookie before I tasted (smelled?) the PB, so @ericmblog ate my cookie "
1472978,1,Catherine Neal Sandifer has twitter! Follow @CatherineNealS  she's so cool
275919,-1,Tired of Porn Stars and Spammers following me 
470499,-1,@goebicyu Please good take care of yourself!!!  shinpai!
1323347,1,Father's day is coming up! 
425178,-1,Revising for my final common test... Don't wanna study!! 
322735,-1,Eye strain! Wanna take a fresh air break... but where's the sun?? 
1397868,1,@DamienFahey how is is like working with fellow Brit Myleene? 
328076,-1,Aww I'm sorry :/ I would come get u and hang out but I'm going to this concert 
741177,-1,"The Gaslight Anthem were awesome, loved them, Lily Allen is on now and then Keane a bit later, but weather is not good "
1102065,1,&quot;Anybody who says they don't is lyring&quot; - Kelly Clarkson admits she pees in the shower-and dares you to admit it too! (read it in a mag) 
1470621,1,wooo..French Open 
307965,-1,@trent_reznor I wish I could get tickets for tomorrows show in toronto..... Sold out 
95872,-1,"Really sad ADS is leaving me for three weeks now, not two "
9883,-1,http://twitpic.com/3ir9e - i miss this! 
1325875,1,@Paullia nothing's up  'bout a month till UK! 
993569,1,wishes Happy Birthday to @sundaecone  ????
510412,-1,@TaylorWayland its your science thing 
855947,1,@Beverleyknight three words only: &quot;YOU ARE AWESOME&quot; that is all  x x
226739,-1,i need a good cuddle 
960480,1,"@moiswashere hey moises, chek it out plz  http://twitpic.com/4ht8h its of @mileycyrus  xoxo from spain, me entiendes? haha &lt;3"
250149,-1,@WeRespectMiley your welcome  i love your default pic..why are you losing followers? 
352835,-1,"Man, now I'm really depressed...  Poor David! #DavidCarradine"
634978,-1,"@Showlar I'm definitely jolly about my smilies, haha. I got them somewhere ages ago but the site no longer exists. "
931181,1,@OGBERRY thats what i like to hear  you should come to dallas and perform when your cd drop
1573160,1,@chelahsea I always need more stockings! Also alot of my old pairs are now torn or cut up so yes yes yes.  Not cowboy enought though!
1172916,1,@la_faerie most awesome brother ever! happy birthday to him 
274456,-1,@Ribeezie I'm not saying 'no' yet - but I doubt it  Happy Monday !!
238986,-1,"just watched a full hour of varsity fc videos, its wierd knowing that theres not going to be any with @thomasfiss again "
237793,-1,Need thera-flu  ..... Zzzz....need more sleep http://twitpic.com/6bwye
826042,1,@iamdiddy! haha. hey!!  imma fan .. 
1254164,1,@jason_mraz can we buy them in England? They look awesomee ! 
1123874,1,I can't wait to see our AWESOME GVL KidSpring families &amp; volunteers tomorrow!! I'm seriously GEEKED out!! 
628154,-1,My sister and her bf are telling my dad she's moving out and moving to Brooklyn tonight.  I already miss her stupid ass.
315809,-1,@emmajg can only have &quot;postcard&quot; back on ones at vistaprint 
854612,1,@deanisgod you'll get the hang of it Mich 
91420,-1,Ooo...I get to sleep early for 2 weeks! Cos @Gregjames will be on at 4pm instead!  - means I can't listen live.
1296083,1,@Debalobo us too! Welcome aboard 
919765,1,http://twitpic.com/4wukt - We bought Ludi her own rug. Dogs are the best 
34647,-1,"I hate being sick, and I'm sick of rain! "
830295,1,Ooh 3 followers off 800 that's cool 
178618,-1,I'm so freaking afraid that once again I've managed to stick my foot in my mouth and scare yet another person off . . . 
64156,-1,I'm really bored today. Hopefully I can go out in a little bit but who knows. 
388717,-1,@MadamSalami i dont know how you find all these finds! our shops are just utter junk 
138062,-1,@lauralovesart It was at least a drunk guy she knew right? 
346748,-1,@whiskey_kitten www.Pandora.com - plays music based on an artist or song that you pick. ONLY thing is I think it only works in the States 
1483884,1,"@twistedraisin Oh, I won't. I have pretty good motivation not to! "
1088927,1,just been shopping with ma mum today  cabaret last night was fun 
947273,1,Haha the full body massage I gave him got him snoring.  job well done if ya ask me =P
864008,1,At the roxx at angelos wooo 
1455636,1,just woke up i hope you had a good day guys 
1318582,1,@ddlovato if seen someone so pretty! YOU! 
1223014,1,@karena630 FIVE DAYS UNTIL THE BEACH!!! p.S. I love you 
634183,-1,tried to dig.....didnt work 
1017126,1,But time to go back to bed since boy just left. 
1586624,1,"@katieameliarose have fun in japan! and make heaps of twitts if you can! us ozzie's will be keeping a eye on the twitts, have fun "
1249495,1,Decode - Paramore     &lt;3            Loving it 
462722,-1,"Heading to bed, going to be reading my manga Fushigi Yugi for the hundredth time till I fall asleep... tomorrow's gonna be hell "
34627,-1,doesn't want to go to school. 
793958,-1,"Ah, beautiful. 9 hours of work await me  ... :'( ..."
349710,-1,"I've only got through 200 so far, the rest will have to wait. No time for comments this time around "
256368,-1,i'm freezing  &amp;im sick. i've used prolly a whole tissue box in like 3hours.
895995,1,@waxingpoetic75 Yes girls are fun.  I can't wait for the shower.  
166156,-1,"@tommcfly It's 12AM! @buonotomato, @bluejeriberry and I are still up, sending you as much tweets as we can! Philippines tour please? "
862171,1,"@Deandri Wow, cool! "
485107,-1,@DawnRichard i love your NOH8 picture! i hope we get 2 marry 
163677,-1,@virginmedia is there something wrong with the internet in chelmsford? my tv on demad isnt working right and my internet is SUPER slow 
157710,-1,"@whitenebula it takes my dog only about 9 days, and she is just one dog "
334131,-1,This economy is really hurting the theater. This was the least amount of people present in the past 2 yrs. Pasadena Playhouse. 
884104,1,"back from football, now shower "
533323,-1,@Jessicaaxo dammit- I was sure you'd be thrilled ! I guess a pishy picture can never make up for the real thing!  
917954,1,@Talula25 How have you been 
446428,-1,@Don_J aww make mine go away  i good.. hungry again tho! how ya?
1154016,1,wasting my sunday time 
1418264,1,@Teairra_Monroe How long are you in MIA?!? We get there Friday...! 
574757,-1,@blacksocialite i wish you were here so we could have another lunch date there 
1027482,1,- finishing up my midterm project for web publishing class &amp; waiting to go over zachs house. 
1012874,1,@prateekgupta haha  not worth celebrating  @ruSh_Me @fraands
1178807,1,"Listen to Elan Sun Star's interview with Kurt Kuennes, the filmmaker for the e-movie Validation here at http://tinyurl.com/nm8e6b  "
715331,-1,@creaps uh oh  give it a whack (it might work!)
1548424,1,"im bored. alot. make plans for tommorow, im open and the pools up "
102960,-1,headaches are the worst 
610010,-1,SO NOT FAIR! Everyone from the view gets L.A Candy by LC  I want oneeeeeee
1316290,1,@AngelaFoo yes ar.... good good. when is ETA? haha. congrats to the both of you. 
1099311,1,At last the drugs are working. I may go into the garden 
1352483,1,@tommcfly the video you tweeted was very amusing  we try to get #mcflyforgermany into the trending topics. maybe you help?  xx
392739,-1,Damn! Rate limit exceeded in TweetDeck 
810101,1,Good morning tweeple! Have a safe and productive Tuesday. 
1121057,1,My Mexican turned into a Morrocan. Must have been the spices. 
315255,-1,is having a really bad day!!!! 
470570,-1,rubbish day back at work 
263910,-1,I have a terrible headache 
1478351,1,"@doomsey, @nekosensei I don't view them as overpriced actually, my MBP is 39 months old and still works fine, more than a Dell can do! "
792210,-1,"not feelling good, at work.  playn in the rain is a good song.just not a good idea in new england cuz im sick as a dog. "
435496,-1,Tired Dane....time to head to work 
1433375,1,@joesephjonas Loveee youuu! 
629925,-1,I will be going off to school soon.   
6228,-1,"@shermradio Hello!!! I'm in class, you know I wanna hear the show, but i cant!!! "
118853,-1,@emaatwell good girl (; ...yh i know  ... &lt;`3 ... how do u feel right now``? &amp; how was ur day ?
645907,-1,@rainbowtotz its driving me insane LOL just found yet another category to do 
197619,-1,"sun, laptop, music, garden, magazine = Bliss and and BBQ later mmm back to work monday tho "
927815,1,http://twitpic.com/4yji2 - Think they are going to race. LED's vs. Incandescent. (LED's ftw btw 
1067224,1,@CHRISDJMOYLES think you behind a couple of years lmao 
600284,-1,OMG I can't believe I just admitted that. I'm so embarrased no. 
727628,-1,damn jus saw my dream boys twitpic he's so phuckin sexy I wish he was up 
1210308,1,just came home from school  nothing new...still the same classmates &amp; the same trip..lol
786911,-1,i hope i'll be able to get a call back from them. but i doubt i will. 
716331,-1,"Reunion was fun,  it rained a lot though. "
18504,-1,have to wake up in four hours. why don't i sleep? 
1557688,1,F.Y.I- OTD= Out The Door And that last comment was refering to old naked pictures and home videos of your ex girlfriends  INJOY!!!
751738,-1,My heart just broke. Jon and Kate Gosslin are getting a divorce!!!!! This is soooooo sad!             
684691,-1,"my head hurts, my nose is stuffed and I can't sleep no more. so far I hate this day! "
1265040,1,So I wish I would have seen all this yesterday. Glad I caught it today tho 
207194,-1,@webcrush The bar is handwritten too?!?!?!? OMG I think I'd rather die than become a lawyer in MA! 
201119,-1,@TheByrne_x me too 
134076,-1,10 days and im free. Too long 
127805,-1, gnight my phone sucks Bleh
838784,1,@MrStrider Its a great morning..er afternoon!  Abt to host open house. How are you today?
1481280,1,feeling right this time of year... 
1279051,1,#goodsex always starts with Nine Wests 
1247773,1,@RyanSeacrest  I want you to ask adam if he is gay or not 
705490,-1,Gross i have to do something  i don't want to do 
1382785,1,I loooooooove it even more when they do the ricky bobby! 
1571711,1,@tjtuason dont worry cuz im listenin  lolz
1010488,1,"@ddlovato AJ RAFAEL (AWESOME MUSICIAN, FAMOUS ON YOUTUBE) COVERED YOUR SONG, DON'T FORGET. PLEASE WATCH IT  IT'S GOOD! http://bit.ly/vFWAs"
1011568,1,@uncultured They said that yesterday too. They say all kinds of ridiculous and wrong things. Its quite funny actually 
34517,-1,Leaving for school in 7 minutes. 
1527118,1,@jurgenappelo Firefox was simply hungry!!! 
885413,1,"@EverywhereTrip - so then it's officially New Yawk, Missoura, Kaybec, and just Vegas now? "
626540,-1,@YouTellConcerts not us  hit up the label. but i think their list is full :/
1079980,1,I have a picture; I AM NOT JUST &quot;o_O&quot; anymore....also...I am officially addicted to Rhett and Link...thanks Em  *btw..that is not sarcasm*
528387,-1,"Editing in Avid 1 today. Looking forward to tonight's Taco Tuesday!  Missing my fiancÃ©, she's in Chicago till Monday. "
1554352,1,im super excited to be a freshmen!!!!!!!!!!!!!!!!!!!!  
3037,-1,"@jetshun4 persons who read my twitter can't catch up for another week.  Can't talk about it here.  But yeah, saaaaad.  "
381879,-1,is looking at the skies outside. Cloudy and gloomy 
778000,-1,Äang Än cÆ¡m rang báº±ng ÄÅ©a  Äm nhÃ  hÃ ng ko nhÃ©t thÃ¬a vÃ o cho mÃ¬nh 
250178,-1,@ashemischief Yikes. I read on FB.  Newskin has some scar therapy stuff that actually works pretty well (once it's not an open wound)
1412806,1,@benwood25 AAAG - bad on me.  Next time.  Just sent you some photos though 
1145286,1,Watching &quot;The Naked Kitchen (??) -The Movie. so far I like it! 
1209590,1,@juliaskott At least it's wine. There are worse stains - classy-wise 
275131,-1,@LaurenConrad its true! We couldn't hear parts over here 
186676,-1,I really miss the Cry_Wolf game. 
642766,-1,I don't like wind 
346371,-1,"2:30am Jason decides to stop editing in Photoshop but does save his work. Yes, it's all gone! Boo Hoo! "
891186,1,early night in bed watching Family Guy me thinks 
856930,1,Training for the 3 day will help me join a good cause and loose some inches 
82936,-1,I need food god i feel so sad am sleepy n going 2 sleep hungry again like a poor gur with no food 
1411535,1,"@kylepetty http://twitpic.com/6r3ww - but i wanna know,...where's all the M&amp;M snacks? lol oh yeah,..and  the Coka~Coloa's ? "
771194,-1,Came home for lunch. I can either watch wnba or rain delay of Texas baseball.  thank god for the simpsons.
441712,-1,The skin on my hand is dry! It's not meant to be dry! It's red &amp; flaky 
1311239,1,"@frelling_cute OMG, that's an awesome pic! Hilarious! "
566459,-1,Another raining day here in NashNash  no laying out for me...what will I do?
947589,1,@melonblind it's been really beautiful here hope some comes your way  Sorry to hear about your bad back. Hope it gets better soon!
1040473,1,@kristenstewart9 the pictures from Italy look great hope you had fun while shotting the movie  and good luck on the MTVmovieawards 
150339,-1,Just went to the airport and said goodbye to mom and sis. 
591736,-1,or apparently it just magically worked this time.. oh server you are so finicky about booting correctly 
574440,-1,Really want to skate tonight but have so much to do ready for the Goodwood Roller Marathon price rise next week so home doing paperwork 
484874,-1,"@deedriano Yeah, it did kind of freak me out. I'm just bummed I have to buy a new tire now. Hoped to make it all season without it.  "
725651,-1,I miss my girl so much 
98859,-1,Also still wondering who is going to coach poor old Ajax... with van Basten gone now we need a new good coach... 
1042135,1,Yayy finally on blanketbed 
1123748,1,Waiting on My Iced Mocha 
309547,-1,lg tggu konfirmasi whether jd cek lokasi k JCC apa ndak ..sakit perut lagee 
60942,-1,@effinsick i can't my mom only brought back some  next time lah!
157947,-1,just preparing my self study 
704939,-1,@moto62 no  strike 2. The 2nd walgreens had twice as many animals bit not tweetie. I'll go back out to another store I know of later.
583763,-1,bed Time !! Sorre throat + Soree head  Cannyy copee 
1115415,1,romping around my bed with my gizzmoe and via phone with Jake and @vegancheze_s 
25012,-1,"Thinking I need to learn art of deligation, either that or get a sugar fix as energy levels have reached all time low "
1214536,1,"@rattlerguy Hahaha, i have no idea what happened! Rose was telling me she kept hearing the door slam too. sorry "
562493,-1,"Is there anyone out there not on NDC09, im feeling kinda alone here "
345780,-1,"@MissPennieLane you never reminded me, and i was up reaaal early and wasnt functioning properly! sorry tho "
434770,-1,HeadAche still present. 
149227,-1,@lindslindsx sheesh I wish my office had windows 
1450127,1,yesterday is utterly fun 
371973,-1,@NeshiaK nawl I'm not going my grandparents here 
177537,-1,@newbouldm I love sausage too  #kitchenfire
1138986,1,Is listening 2 Tevin Campbell OMG...I use to have such a crush and I was a baby! &quot;Can we talk 4 a minute? Girl I want 2 know your name.&quot; 
1336603,1,@legalbeagle85 Yia... I think it must be...well...YOU!  
1084166,1,at ryanss with people 
521402,-1,Leave in a few minutes to have our last guitar lesson  Why does time pass so quickly???
578159,-1,"Wish I had a time machine. I'd go exactly to yesterday, lunchtime. Where I was sitting down, youtube-ing. "
29851,-1,"its way too early i want to go back to bed, I really do not want to go to college, and its soo unfair my brothers got a inset day "
107355,-1,@twitterfon twitpics are sideways.  
1599571,1,i'm a freshman again. learning how to read my schedule. hahah mostly just missing math for @emilyblodgett. 
1367557,1,@mrdraco And I've replied... 
628745,-1,@Whatakicker thanks. And nope. 
538652,-1,GAH bubbles just popped and I smeared a little of it 
1489656,1,"@SarahandDrew Hate to be dense, but what is SCOB? "
1251738,1,"Need to send emails to 100,000  contacts? Check out EmailUnlimited on http://www.4officeautomation.com "
370422,-1,"@amu311bd You go for it I had more, but some of the artists deleted it. I had to cut so many from my 90's list cuz they weren't playing "
217263,-1,Ok finally out of Coventry! On my way to rehersal hoping that @StaceyArielle will see my hair and feel sorry 4 me 
277119,-1,am i a bad person?  i really hope this doesnt elevate to something worse...
129861,-1,Actually dying! Being sick from the pain which increases the pain - vicious circle  No-one here to look after me either. SOB!!
744872,-1,@xxjeannexx iWANT to... but you need to find away around the whole your government wont let me stay 
1480041,1,@knoxxx3 Thnx 
813533,1,@beaconhell Hey there    So i got one of these things now.. wtf do you do with these?
424114,-1,"I have to make the most out of my summer.  Last day today, first day tomorrow."
703844,-1,@MaraBG &amp; the cookbooks I can access R the 1s I don't care abt!  !
1470657,1,@nuraini Good - glad there's no problem. 
345249,-1,@closertojc Not for me!!!!  LoL Looking forward to seeing you guys next weekend &quot;Proud Momma&quot;.
1256980,1,@taylorlehman27 calling me &quot;ridiculous&quot; for not wanting to go to a funeral by myself isn't necessary either 
927960,1,"@sayitwithecards Sent some lovely cards from Sayitwithecards.com!  So sorry you took a fall today! Rest, realx, and feel better tomorrow!"
476250,-1,has a nice hotel but needs more ROOMMATES for SDCC!  
735657,-1,@Rotimer a higher bid with a max of Â£20 i laid Â£21 down n it went for Â£22 i want this one but ash wont have it http://tinyurl.com/nw84ym  
553753,-1,ok back at it girls...i'm having the non vote button prob too 
1448850,1,is wondering wat crap is gonna be spouted today really wateva&gt;&gt;&gt;&gt; on a happier note cant wait for the grand prix 
515237,-1,Feet/legs are much less sore after today's training than yesterday - I think it was my boots  All talked out though my throat needs a rest
1231732,1,@CarrieEmmy Happy almost B-day! My mother's B-day is Friday. Good time of year 
580167,-1,I wish my buddy hadn't made me think about what to pack for New York.  Now I'm bummed because I don't have anything I like.   Pitiful.
82639,-1,feeling weak today  http://plurk.com/p/sv282
84312,-1,@andrei_bobocea  sorry to hear
478766,-1,My baby brother is graduating from high school today 
623793,-1,@izenrider I know  I couldn't. but i'm going to reschedule soon.
1160890,1,"@mnemopsyche thank you for following me.  thanks, really."
565066,-1,Needs collective strength from my tweeple this AM. I am Heading to my Mother's funeral service. 
63073,-1,@lislBR hmm not really. it was sunny a couple of hrs ago but now its raining 
1174043,1,"heading to the airport yaaay i love them, from the bottom of my heart!  cannot believe yet and well, they are the sex.."
841584,1,went to town with bella 
807841,1,@planettreasures Thank you  I love your clear pools necklace!
1318564,1,"@xtnblue \o right, o/ left, \o right, o/ left! YEAAAHH! "
1136092,1,@sokeri drunk twitpic directions are a twitterfon glitch. Get the update. 
595793,-1,Work today - urgh! 
1015251,1,"Off to the Meditterean at 5 in the AM tommorrow , so excited to be finally going and having a week off "
287312,-1,@wrightisrite: Aww. Did you fight with mike? 
501821,-1,@inklesstales too sad to document that now. 
1226087,1,XM 90s on 9 - Meredith Brooks - Bitch ('97) 
888823,1,"@alextillotson nah, just don't like it "
756724,-1,i really wanna see @taylorswift13 in chicago on october ninth or tenth. too bad my mom ruins everything.  i need to some major bribing.
554853,-1,Iphone tweet aplication is not working 
608063,-1,Doesn't look like today is GV day afterall 
265107,-1,Is not ready for Monday AT ALL whaaa  #fb
1387694,1,http://bit.ly/1955mF  Could watch it over n over. They r amazing 
1189247,1,@billyraycyrus You are definetly one of the greatest dads ever  You do so much for your family ()
1408318,1,@EFactor18 yes you're absolutely right.  I will listen to my dr E.   thank u for caring. Xxxx love u and miss u more
961300,1,Is in bed reading shopaholic! &lt;3 anniversary picnic later with the boy 
616136,-1,@ExPrincess no. I'm on another call anyway...work blackberry. 
792713,-1,feel terrible on swimwear! Who to do? 
1093536,1,Going to sleep now  Then gona wake up at 7 to play ball.... -__- lmao FML!
1399680,1,"Busto in 14th place, had 60k on 3-6k and went all in w K7s and got called by AK, no luck for me but 37.000 kronor richer "
326852,-1,@mileycyrus MILEY! I'd do anything if you'd just respond to me! &lt;3  PLEASEEEEE!
98639,-1,buying stocks for my sister whom nowadays have both fame and fortune 
879132,1,says good night and sweet dream folks 
262295,-1,My ice cream...you can have it...do noooooooooooooot want......... 
1233574,1,@lilyjang I'm sure I'm not the 1st but I had to try!  have a great day!
712428,-1,I defiantly do not want to be home right now i want to go back to the beach! 
801053,1,GOOD NITE EVERBODY I HAD A LONG DAY AND DID A PROJECT NOW IT IS FINALLY TIME TO GET SOME REST PEACE 
1424683,1,"@ceemaccee tried moisturiser, discovered its unecessary when your skin is oily. Resored to soap, deodorant and aftershave "
1234483,1,@LifeAsWeKnowIt I'll have to email it to ya sometime. It's delish 
1538978,1,"@Markkyg.. Twitter is awesome, its hard to get use to but in time you will love it "
314578,-1,Ugh why am I up @ 5:50am. Not feeling so good. 
1440493,1,@bram85 oh. is THAT what that was all about. big FAIL on google's part then. 
72185,-1,"OK, a few days old, but I love @armarno's diagram of the mainstream adoption curve http://is.gd/ufIg . &quot;Everyone is doing it&quot;   ...  !"
653364,-1,"my shiny new iPhone 3G S is here, hmm, might need to run home to sync it real quick... WHERE ARE MY APPS "
543640,-1,Hate being sick at home...i'm sooooo bored 
673644,-1,"Busy day today. Worked in the yard, did some major room cleaning and some cleaning in other rooms. We have so much junk accumulated "
586931,-1,ack . . .saw a road killed bobcat while I was driving home  from work. 
509128,-1,omg im not even joking this episode almost has me in tears  this pooor girl 
937222,1,"@Glinner That is so what I didn't want to hear whilst eating breakfast, but one has to ask - WHY? "
1170068,1,just had gravy biscuit for breakfast. helping the girls get finished packing for their week at the beach. anticipating video games today 
981128,1,has something exciting to announce re: Progression Project....shortly 
1463570,1,Parents get back after 6 weeks in France this afternoon. I'm tidying up 
1228865,1,"@Starrbby  thanks babe....hey you're suppose to be resting!!! N getting better, take your ass to sleep lollll"
1556267,1,@BeMeaningful Lots new! All good. Ha! Raising $ for cancer prevention. Biking lots. Enjoying life in general! 
1560358,1,@butterballs_mc Did you get a copy of THE TAKEOVER EP yet?! 
911883,1,"Good Night,  Happy Mother's Day !!   "
236627,-1," - British pop-punk-rock-whateverelse-esque bands, please donï¿½t sing like youï¿½re American. It doesnï¿½t sound... http://tumblr.com/xep1wwfa6"
923617,1,Goodnight world  Darn exams all this week.
420176,-1,Grrrrr. Storm woken me up 
696718,-1,I wanna see my baby.  few hours I can. And mike is being retarded.
821891,1,@iamdiddy I am sending you a Giant Size Hug with Supercagafragalistic Positivity!! Hope it reaches you in Studio...  
879463,1,had a good day 
771543,-1,going to work 
890497,1,"@IsaacHayes3 it didn't!!!! Hahahahahahaha!!! I hate I missed it, man, I know it as funny as hell "
705610,-1,Watching So You Think You Can Dance. Love this show. Never get to watch it though.  Should probably study afterwards. Ugh. Math sucks.
